Model,MSE,RMSE,MAE,MAPE,R²,Adjusted R²
Linear Regression,0.0019309706336045538,0.043942810943367674,0.039620424065416646,0.0784448714147177,0.0,-0.19999999999999996
Decision Tree,1.232595164407831e-32,1.1102230246251565e-16,1.1102230246251565e-16,2.1981416015281494e-16,0.0,-0.19999999999999996
Random Forest,0.0006090908378039713,0.02467976575666737,0.019446482052891893,0.03850228310502255,0.0,-0.19999999999999996
Gradient Boosting,2.8539168909920333e-10,1.6893539862894436e-05,1.6893539862894436e-05,3.344768748805228e-05,0.0,-0.19999999999999996
SVR,0.028540311587506893,0.16893878059080128,0.1208310288733349,0.2392345550675297,0.0,-0.19999999999999996
